Fecha;Name1;Name2;G1;G2;G3;G4;G5;G6;G7;GOLD_SCORE;SCORE_NORM;C1;B1_1;B1_2;B1_3;B1_4;B1_5;B1_6;B2_1;B2_2;B2_3;B2_4;B2_5;B2_6;C2;Emails
10-15-2025 2:26:11;nan;nan;7;7;2;3;0;2;3;24;0,46;B mucho más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;nan
10-15-2025 9:08:32;nan;nan;7;0;2;2;1;1;1;14;0,27;B más compleja que A;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;A mucho más compleja que B;A más compleja que B;B más compleja que A;A más compleja que B;B mucho más compleja que A;B más compleja que A;B más compleja que A;nan
10-15-2025 22:15:27;nan;nan;0;7;0;0;1;5;5;18;0,35;B más compleja que A;Igual de complejas;Igual de complejas;Igual de complejas;Igual de complejas;Igual de complejas;B más compleja que A;Igual de complejas;Igual de complejas;A más compleja que B;Igual de complejas;Igual de complejas;Igual de complejas;B más compleja que A;nan
10-16-2025 13:18:46;nan;nan;0;0;1;3;0;0;1;5;0,1;B más compleja que A;Igual de complejas;A más compleja que B;A más compleja que B;Igual de complejas;B más compleja que A;Igual de complejas;B más compleja que A;B más compleja que A;B mucho más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;B mucho más compleja que A;nan
10-16-2025 13:35:26;nan;nan;7;7;10;4;2;5;3;38;0,73;B mucho más compleja que A;B mucho más compleja que A;B más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;B más compleja que A;B mucho más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B mucho más compleja que A;A más compleja que B;B más compleja que A;nan
10-16-2025 15:30:52;nan;nan;7;0;10;3;4;10;3;37;0,71;B mucho más compleja que A;B mucho más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;Igual de complejas;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;Igual de complejas;B más compleja que A;nan
10-16-2025 15:50:46;nan;nan;0;0;0;1;0;1;2;4;0,08;Igual de complejas;Igual de complejas;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;B más compleja que A;Igual de complejas;nan
10-16-2025 16:06:04;nan;nan;7;7;4;2;1;5;2;28;0,54;B más compleja que A;B mucho más compleja que A;B más compleja que A;Igual de complejas;Igual de complejas;A mucho más compleja que B;Igual de complejas;A más compleja que B;B más compleja que A;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;nan
10-16-2025 20:41:45;nan;nan;7;7;6;4;1;1;4;30;0,58;B mucho más compleja que A;B mucho más compleja que A;A mucho más compleja que B;A mucho más compleja que B;A mucho más compleja que B;B mucho más compleja que A;B mucho más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;A más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;nan
10-16-2025 20:46:08;nan;nan;0;0;0;0;0;0;0;0;0;B más compleja que A;B más compleja que A;A más compleja que B;B mucho más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B mucho más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;A mucho más compleja que B;Igual de complejas;B más compleja que A;nan
10-17-2025 0:21:15;nan;nan;7;7;8;5;7;10;6;50;0,96;B mucho más compleja que A;Igual de complejas;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B más compleja que A;B más compleja que A;B mucho más compleja que A;A mucho más compleja que B;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;nan
10-17-2025 11:40:38;nan;nan;0;7;1;2;0;0;1;11;0,21;A mucho más compleja que B;B mucho más compleja que A;B mucho más compleja que A;A mucho más compleja que B;Igual de complejas;A mucho más compleja que B;A más compleja que B;B mucho más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;nan
10-17-2025 12:51:44;nan;nan;0;0;0;1;0;0;0;1;0,02;B mucho más compleja que A;Igual de complejas;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;A más compleja que B;Igual de complejas;B mucho más compleja que A;nan
10-17-2025 15:44:18;nan;nan;7;7;8;3;6;8;3;42;0,81;B mucho más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;B más compleja que A;A más compleja que B;A más compleja que B;B mucho más compleja que A;A más compleja que B;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;nan
10-17-2025 19:10:57;nan;nan;7;7;10;4;7;10;6;51;0,98;B mucho más compleja que A;B mucho más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;Igual de complejas;B mucho más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A más compleja que B;B mucho más compleja que A;B más compleja que A;B mucho más compleja que A;nan
10-18-2025 0:46:44;nan;nan;0;0;10;2;1;4;3;20;0,38;B mucho más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;B más compleja que A;Igual de complejas;B mucho más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;A más compleja que B;B mucho más compleja que A;B más compleja que A;B más compleja que A;nan
10-20-2025 6:50:02;nan;nan;0;7;7;4;0;3;1;22;0,42;B más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;Igual de complejas;Igual de complejas;B más compleja que A;nan
10-20-2025 8:05:02;nan;nan;7;7;2;2;2;3;6;29;0,56;B más compleja que A;A más compleja que B;Igual de complejas;A más compleja que B;A más compleja que B;B mucho más compleja que A;B más compleja que A;Igual de complejas;A más compleja que B;B mucho más compleja que A;Igual de complejas;B más compleja que A;A más compleja que B;B más compleja que A;nan
10-20-2025 12:59:30;nan;nan;7;7;4;2;0;8;3;31;0,6;B mucho más compleja que A;B mucho más compleja que A;A más compleja que B;A más compleja que B;A más compleja que B;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A más compleja que B;B mucho más compleja que A;Igual de complejas;B mucho más compleja que A;nan
10-20-2025 14:27:12;nan;nan;0;0;0;0;0;0;0;0;0;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;B más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;Igual de complejas;nan
10-20-2025 17:57:24;nan;nan;0;0;0;0;0;0;0;0;0;Igual de complejas;B mucho más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;Igual de complejas;B más compleja que A;Igual de complejas;A más compleja que B;nan
10-21-2025 12:10:02;nan;nan;0;0;1;1;0;0;3;5;0,1;B más compleja que A;A más compleja que B;Igual de complejas;B mucho más compleja que A;A más compleja que B;B mucho más compleja que A;B más compleja que A;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;nan
10-21-2025 12:53:18;nan;nan;0;0;0;0;0;0;2;2;0,04;Igual de complejas;A más compleja que B;A más compleja que B;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;A mucho más compleja que B;B mucho más compleja que A;Igual de complejas;B más compleja que A;B más compleja que A;B mucho más compleja que A;nan
10-21-2025 19:33:20;nan;nan;0;0;0;1;3;0;1;5;0,1;B más compleja que A;A más compleja que B;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;B mucho más compleja que A;B mucho más compleja que A;A más compleja que B;B más compleja que A;B más compleja que A;nan
10-23-2025 22:58:26;nan;nan;7;7;6;3;6;8;4;41;0,79;B mucho más compleja que A;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;A mucho más compleja que B;B mucho más compleja que A;nan
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
